eta_label,eta,N,primary_estimator,holonomy_estimate,target_h,abs_error,rel_error,rate_between_N_doublings,round_trip_residual,central_secant_estimate,central_secant_abs_error,estimator_abs_diff,blind_table_comparison_estimator
5*pi/12,1.3089969389957472,32,wilson_overlap_product,5.458845644710331,5.441398092702654,0.01744755200767667,0.003206446525402216,1.9907869263496576,0.0,5.40650159675052,0.03489649595213429,0.05234404795981096,wilson_overlap_product
5*pi/12,1.3089969389957472,64,wilson_overlap_product,5.445766455164432,5.441398092702654,0.004368362461778297,0.0008028014836180829,1.9978601592514529,0.0,5.432661346029033,0.008736746673620566,0.013105109135398862,wilson_overlap_product
pi/12,0.2617993877991494,2,wilson_overlap_product,-6.283185307179586,-5.441398092702654,0.8417872144769323,0.1547005383792514,,0.0,-2.1211504774498138e-16,5.441398092702654,6.283185307179586,wilson_overlap_product
pi/12,0.2617993877991494,4,wilson_overlap_product,-6.283185307179586,-5.441398092702654,0.8417872144769323,0.1547005383792514,0.0,0.0,-3.4641016151377553,1.9772964775648987,2.819083692041831,wilson_overlap_product
pi/12,0.2617993877991494,8,wilson_overlap_product,-5.709795031558125,-5.441398092702654,0.2683969388554708,0.04932499594459232,1.6490873801279669,0.0,-4.898979485566357,0.5424186071362973,0.8108155459917681,wilson_overlap_product
pi/12,0.2617993877991494,16,wilson_overlap_product,-5.510744039386319,-5.441398092702654,0.069345946683665,0.012744141395694502,1.9524847536297982,0.0,-5.3026171845694705,0.13878090813318344,0.20812685481684845,wilson_overlap_product
pi/12,0.2617993877991494,32,wilson_overlap_product,-5.458845644710331,-5.441398092702654,0.01744755200767667,0.003206446525402216,1.9907869263496576,0.0,-5.40650159675052,0.03489649595213429,0.05234404795981096,wilson_overlap_product
pi/12,0.2617993877991494,64,wilson_overlap_product,-5.445766455164432,-5.441398092702654,0.004368362461778297,0.0008028014836180829,1.9978601592514529,0.0,-5.432661346029033,0.008736746673620566,0.013105109135398862,wilson_overlap_product
pi/3,1.0471975511965976,2,wilson_overlap_product,6.283185307179586,3.1415926535897922,3.141592653589794,1.0000000000000007,,0.0,1.2246467991473525e-16,3.1415926535897922,6.283185307179586,wilson_overlap_product
pi/3,1.0471975511965976,4,wilson_overlap_product,6.283185307179586,3.1415926535897922,3.141592653589794,1.0000000000000007,0.0,0.0,1.9999999999999998,1.1415926535897924,4.283185307179586,wilson_overlap_product
pi/3,1.0471975511965976,8,wilson_overlap_product,3.7091808720064474,3.1415926535897922,0.5675882184166552,0.1806689412034661,2.4685795810645863,0.0,2.828427124746189,0.31316552884360327,0.8807537472602585,wilson_overlap_product
pi/3,1.0471975511965976,16,wilson_overlap_product,3.2675131348499025,3.1415926535897922,0.12592048126011024,0.04008173405811385,2.172331683437379,0.0,3.0614674589207174,0.08012519466907486,0.2060456759291851,wilson_overlap_product
pi/3,1.0471975511965976,32,wilson_overlap_product,3.172166129935114,3.1415926535897922,0.030573476345321815,0.009731839775722206,2.042160452110851,0.0,3.121445152258053,0.02014750133173937,0.050720977677061185,wilson_overlap_product
pi/3,1.0471975511965976,64,wilson_overlap_product,3.149180817796642,3.1415926535897922,0.007588164206849601,0.0024153876850262117,2.0104577987083725,0.0,3.1365484905459353,0.0050441630438569085,0.01263232725070651,wilson_overlap_product
pi/4,0.7853981633974483,2,wilson_overlap_product,-6.283185307179586,-3.8473413874435795e-16,6.283185307179586,,,0.0,-5.808467870030917e-32,3.847341387443579e-16,6.283185307179586,wilson_overlap_product
pi/4,0.7853981633974483,4,wilson_overlap_product,-3.141592653589793,-3.8473413874435795e-16,3.1415926535897927,,1.0000000000000002,0.0,-6.975736996017264e-16,3.128395608573684e-16,3.1415926535897922,wilson_overlap_product
pi/4,0.7853981633974483,8,wilson_overlap_product,-4.898587196589412e-16,-3.8473413874435795e-16,1.0512458091458323e-16,,54.73024559856813,0.0,-8.719671245021579e-16,4.872329857578e-16,3.8210840484321676e-16,wilson_overlap_product
pi/4,0.7853981633974483,16,wilson_overlap_product,-4.0581225065890674e-16,-3.8473413874435795e-16,2.1078111914548786e-17,,2.318282501564154,0.0,-1.0681597275151434e-15,6.834255887707854e-16,6.623474768562367e-16,wilson_overlap_product
pi/4,0.7853981633974483,32,wilson_overlap_product,-3.897558304357129e-16,-3.8473413874435795e-16,5.0216916913549284e-18,,2.0695002807874183,0.0,-9.591638369523736e-16,5.744296982080157e-16,5.694080065166607e-16,wilson_overlap_product
pi/4,0.7853981633974483,64,wilson_overlap_product,-3.8597498196762265e-16,-3.8473413874435795e-16,1.2408432232646978e-18,,2.016852609635907,0.0,-8.828667135584349e-16,4.981325748140769e-16,4.968917315908122e-16,wilson_overlap_product
pi/6,0.5235987755982988,2,wilson_overlap_product,-6.283185307179586,-3.141592653589794,3.1415926535897922,0.9999999999999994,,0.0,-1.2246467991473535e-16,3.141592653589794,6.283185307179586,wilson_overlap_product
