zip_path,is_dir,size_bytes,compressed_bytes,ext,top,lvl2
__MACOSX/specs/._23_BOOTPACK_CONFORMANCE_FIXTURE_MATRIX_CONTRACT.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/.__normative_hash_baseline.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/._reports,False,163,86,,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._authority_extract_report.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._authority_gap_report.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._bootpack_sync_report.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._content_redundancy_report.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._legacy_extract_report.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._migration_inventory.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._migration_mapping.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._migration_promotion_report.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._migration_unknowns.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._normative_hash_report.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._orphan_requirements_report.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._owner_collision_report.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/specs/reports/._redundancy_report.json,False,163,86,.json,__MACOSX,__MACOSX/specs
__MACOSX/tools/._.DS_Store,False,120,53,.ds_store,__MACOSX,__MACOSX/tools
__MACOSX/tools/.___pycache__,False,163,86,,__MACOSX,__MACOSX/tools
__MACOSX/tools/._advance_phase_gate.py,False,163,86,.py,__MACOSX,__MACOSX/tools
__MACOSX/tools/._authority_coverage_audit.py,False,163,86,.py,__MACOSX,__MACOSX/tools
__MACOSX/tools/._bootpack_sync_audit.py,False,163,86,.py,__MACOSX,__MACOSX/tools
__MACOSX/tools/._build_migration_artifacts.py,False,163,86,.py,__MACOSX,__MACOSX/tools
__MACOSX/tools/._content_redundancy_lint.py,False,163,86,.py,__MACOSX,__MACOSX/tools
__MACOSX/tools/._init_run_surface.py,False,163,86,.py,__MACOSX,__MACOSX/tools
__MACOSX/tools/._legacy_extract.py,False,163,86,.py,__MACOSX,__MACOSX/tools
__MACOSX/tools/._run_a0_compile_gate.py,False,163,86,.py,__MACOSX,__MACOSX/tools
__MACOSX/tools/._run_artifact_grammar_gate.py,False,163,86,.py,__MACOSX,__MACOSX/tools
